,weight,dipole,m,d,polar,B0a,B0b,B0c,quadrupole_xx,quadrupole_yy,quadrupole_zz
MgF,42.9834449,4.279,2,474.51,3.212,100000,0.51922,0.51922,2.9685,2.9685,-5.937
MgH,24.9928667,1.819,2,533.5,3.367,100000,5.82552,5.82552,4.2135,4.2135,-8.427
MgO,39.9799563,7.405,2,341.2,1.75,100000,0.57484,0.57484,-0.3325,-0.3325,0.665
N2,28.0134,0,4,364,1.71,100000,1.67195,1.67195,0.697,0.697,-1.394
N2O,44.0128,0.16083,2,383,2.998,100000,0.41901102,0.41901102,1.83,1.83,-3.65
NaCl,58.4424693,8.971,2,431.22,1.243,100000,0.21806,0.21806,-4.319,-4.319,8.638
NaF,41.9881724,8.123,2,277.59,0.416,100000,0.4369,0.4369,0.985,0.985,-1.969
NaH,23.9975943,6.4,2,486.2,3.896,100000,4.90327,4.90327,3.6765,3.6765,-7.353
NaO,38.9846839,8.033,2,395.2,3.587,100000,0.42463,0.42463,1.932,-1.076,-0.856
NaOH,39.9925089,6.86371,2,381.44,1.519,100000,0.4267,0.4267,-3.227,-3.227,6.454
Ne,20.18,0,6,282,0.381,100000,100000,100000,0,0,0
NF3,71.00191,0.235,2,415.4,2.81,0.35628,0.35628,0.19493,-0.028,-0.031,0.059
NH,15.010899,1.801,2,319.2,0.505,100000,16.66792,16.66792,-0.2145,-0.2145,0.429
NH3,17.0305,1.4719,2,375,2.103,9.94664516,9.94664516,6.22750356,1.16,1.16,-2.32
NiH,58.9431679,2.44,2,580.2,7.254,100000,7.7,7.7,1.244,1.244,-2.488
NO,30.0061,0.159,2,317,1.698,100000,1.69614207,1.69614207,-0.508,1.08,-0.572
NO2,46.0055,0.316,2,346,2.91,8.00233607,0.43370004,0.41045062,1.857,-2.602,0.746
NS,45.9751452,1.81,2,394.41,2.34,100000,0.7696,0.7696,2.217,-0.746,-1.471
O2,31.9988,0,4,346,1.562,100000,1.43767,1.43767,0.155,0.155,-0.31
O3,47.9982,0.5337,2,400,3.079,3.55366592,0.44528318,0.39475179,9.2,-17.1,7.9
OCS,60.075,0.715,2,413,5.09,100000,0.20285674,0.20285674,0.292,0.292,-0.584
OH,17.0073,1.6552,2,336,1.136,100000,18.5519677,18.5519677,-1.763,0.223,1.54
PF3,87.9689715,1.03,2,435.2,4.414,0.264,0.264,0.166,-12.05,-12.05,24.1
PH,31.981587,0.108,2,426.2,2.148,100000,8.53904,8.53904,-0.2125,-0.2125,0.425
PH3,33.99758,0.58,2,450,4.237,4.45236,4.45236,3.93,1.05,1.05,-2.1
PN,44.976836,2.751,2,420.165,2.363,100000,0.78648,0.78648,1.266,1.266,-2.532
PO,46.9686766,1.88,2,412.215,2.643,100000,0.7337,0.7337,3.137,-1.077,-2.06
PS,62.9458332,2.137,2,485.27,4.334,100000,0.29673,0.29673,1.565,-2.648,1.083
S2,63.9441423,0,4,447,6.2,100000,0.29547,0.29547,-0.991,-0.991,1.982
ScH,45.9637333,1.74,2,629.88,16.495,100000,5.42543,5.42543,0.5535,0.5535,-1.107
SF6,146.0554,0,4,512.8,4.49,0.09107,0.09107,0.09107,0,0,0
SH,32.9798962,0.7571,2,401.505,1.23,100000,9.60025,9.60025,-3.177,0.851,2.325
SiH,28.9847516,0.188,2,422.07,3.294,100000,7.5039,7.5039,-2.286,4.539,-2.254
SiH2,29.9925766,0.136,2,426.88,5.589,8.09898,7.02363,3.70257,4.794,-0.874,-3.921
SiH4,32.0082267,0,6,411.2,4.777,2.86509,2.86509,2.86509,0,0,0
SiN,41.9800005,2.772,2,462.99,7.351,100000,0.7311,0.7311,0.0705,0.0705,-0.141
SiO,43.9718412,3.088,2,434.5,3.372,100000,0.72675,0.72675,2.1085,2.1085,-4.217
SiO2,59.9667558,0,4,439.96,3.197,100000,0.218,0.218,6.0055,6.0055,-12.011
SiS,59.9489977,1.73,2,502.2,5.304,100000,0.30353,0.30353,0.1825,0.1825,-0.365
SO,48.064,1.3,2,400,4.238,100000,0.72082,0.72082,0.392,0.392,-0.784
SO2,64.064,1.6331,2,411.2,3.882,2.0273542,0.3441739,0.2935265,3.86,-4.91,1.02
SO3,80.063,0,4,470,19.029,0.346,0.346,0.173,-3.119,-3.119,6.237
TiH,48.955767,2.055,2,617.1,15.206,100000,5.36206,5.36206,3.364,3.364,-6.728
TiO,63.9428566,4.672,2,275.2,14.865,100000,0.53541,0.53541,1.73,1.73,-3.46
trans-P2H2,63.963174,0,4,423,8.284,4.3429,0.2501,0.2364,2.106,-1.688,-0.418
VO,66.9388717,2.729,2,551.68,10.298,100000,0.54825,0.54825,0.6055,0.6055,-1.211
Xe,131.293,0,6,408.2,4.005,100000,100000,100000,0,0,0
YO,104.900755,4.524,2,456.2,18.771,100000,0.3881,0.3881,1.73,1.73,-3.46
ZrO,105.899612,2.551,2,431.2,6.754,100000,0.42263,0.42263,1.73,1.73,-3.46
CHF3,70.0141,1.639,2,470,2.822,0.34520,0.34520,0.18925,-1.3731,-1.3731,2.7462
13CO,29.0028,0.11011,2,376,1.953,100000,1.837972,1.837972,1.42,1.42,-2.839
Ar,39.948,0,6,354.2,1.664,100000,100000,100000,0,0,0
CCl4,153.82,0,6,594.7,10.002,0.057,0.057,0.057,0,0,0
C6H6,78.11,0,4,530,9.959,0.189,0.189,0.095,4.55,4.55,-9.1
H81Br,81.92,0.828,2,335.3,3.616,100000,8.46,8.46,-2.005,-2.005,4.011
H79Br,79.93,0.828,2,335.3,3.616,100000,8.47,8.47,-2.005,-2.005,4.011
13C12CH4,29.04,0,4,390,4.188,4.925,0.982,0.809,-3.16,1.48,1.67
C3H8,44.1,0.08,2,511.8,5.921,0.97,0.28,0.23,0.5,-0.1,-0.4
n-C4H10,58.12,0,4,550,8.1,0.78,0.14,0.13,0.7,-0.1,-0.6
i-C4H10,58.12,0.13,2,550,8.1,0.36,0.22,0.18,0,0,0
CaCl,75.531,4.265,2,574.745,26.019,100000,0.15223,0.15223,3.025,3.025,-6.049
ScO,60.95531,3.209,2,327.93,19.116,100000,0.51343,0.51343,3.212,3.212,-6.425
C3,36.0321,0,4,448.46,5.104,100000,0.43057,0.43057,3.123,-6.154,3.03
